Tooth #,CH (µm),FABL (µm),BW (µm),PDM (dt/mm),ADM (µm),
,Crown Height,Fore Aft Basal Length,Basal Width,Posterior denticles per millimeter,Posterior denticles per millimeter,
Average,,,,,,
HRS96095,3778,2730,941,2.97,NA,
HRS96096,3900,1954,1043,2.09,NA`,
HRS96097,3546,2435,1034,3.98,NA,
HRS96098,4238,2380,1178,1.81,NA,Scrape marks
HRS96099,3862,2473,1000,4.61,NA,
HRS96100,4044,2599,933,2.78,NA,
HRS96101,4736,2388,1292,1.86,NA,
HRS96102,4651,2671,1140,NA,NA,Tip and most broken. May be a dent.
HRS96103,3132,2498,929,3.1,NA,
HRS96104,2448,1903,798,3.3,NA,Base Broken
HRS96105,4428,2747,1127,1.67,NA,
HRS96106,2718,2089,722,3.4,NA,Tip broken
HRS96107,3309,1983,848,3.37,NA,
HRS96108,2689,1916,764,4.14,NA,
HRS96109,3318,2215,937,2.71,NA,p. dent?
HRS96110,3638,2409,781,3.2,NA,
HRS96111,2811,2025,848,3,NA,
HRS96112,4567,2545,1131,1.86,NA,posterior carina twists labially
HRS96113,3520,2528,861,2.93,NA,Wear at tip
HRS96114,3558,2549,912,3,NA,
HRS96115,4559,2523,1355,1.85,NA,Wear mark at base
HRS96116,3731,2751,1030,2.82,NA,
HRS96117,3275,2232,819,3.57,NA,faceted faces… like a crystal
HRS96118,3284,2334,865,2.61,NA,Sm. 
HRS96119,4340,2616,1064,2.66,NA,Tip broken
HRS96120,3242,2148,870,3.58,NA,
HRS96121,2330,2287,747,3.92,NA,
HRS96122,2879,2169,764,5.28,NA,
HRS96123,3360,1848,760,3.25,NA,
HRS96124,2119,1815,722,2.73,NA,Tip broken
HRS96125,2193,2004,703,3.95,NA,
HRS96126,3403,2496,896,2.96,NA,Tip broken
HRS96127,3100,2438,888,3.05,NA,
HRS96128,4616,2515,1327,1.73,NA,Wear at base
HRS96129,3735,2859,1597,3.14,NA,Tip broken
HRS96130,3105,2744,817,3.63,NA,
HRS96131,3952,2768,955,2.96,NA,Tip broken
HRS96132,2354,2114,823,3.33,NA,
HRS96133,,,,2.76,NA,Base missing/broken
HRS96134,4456,2804,1141,4.52,8.87,Tip broken crush mark
HRS96135,3753,2913,1051,2.94,NA,
HRS96136,3039,2348,865,3.18,NA,Tip broken
HRS96137,5084,3048,1249,1.66,NA,Wear at base
HRS96138,2456,2228,883,3.24,NA,
HRS96139,3885,2504,1009,2.27,NA,
HRS96140,2564,2240,841,3.16,NA,Highly eroded
HRS96141,3849,2768,943,2.43,NA,
HRS96142,3057,2786,823,3.10,NA,
HRS96143,4189,2705,1033,3.10,NA,
HRS96144,3213,2835,806,3.40,NA,
HRS96145,2343,1915,819,2.86,NA,
HRS96146,2955,2703,731,3.05,NA,
HRS96147,2545,2199,819,3.45,NA,Base Broken
HRS96148,3742,2671,926,2.70,NA,
HRS96149,2488,1928,907,3.07,NA,Scrape on 1 side
HRS96150,3648,2551,813,2.87,NA,Base broken
HRS96151,3585,2589,819,3.30,NA,
HRS96152,2432,2778,825,3.61,NA,Denticles eroded
HRS96153,3603,2885,1039,3.07,NA,
HRS96154,3276,2602,863,3.36,NA,
HRS96155,3585,2847,888,3.41,NA,Tip broken
HRS96156,3496,2047,832,3.13,NA,"Tip worn, base broken"
HRS96157,4385,2816,1033,2.23,NA,
HRS96158,2980,2155,699,3.38,NA,
HRS96159,4240,3055,958,2.78,NA,Slight ant. carina
HRS96160,2452,1938,813,3.06,NA,
HRS96161,3767,2627,920,3.07,NA,
HRS96162,3351,2211,983,3.66,NA,
HRS96163,2945,2136,687,3.96,NA,Tip broken
HRS96164,3477,23301,794,3.33,NA,
HRS96165,2936,2375,693,3.47,NA,
HRS96166,3005,2558,888,3.68,NA,
HRS96167,2451,2460,737,3.37,NA,
HRS96168,3137,2532,750,3.35,NA,
HRS96169,3339,2627,919,3.38,NA,Tip missing
HRS96170,2583,2419,787,3.56,NA,
HRS96171,3200,2589,888,4.03,NA,
HRS96172,2362,2022,617,4.16,NA,Middle only
HRS96173,5116,3457,1317,1.42,NA,Over Sized
HRS96174,4517,2797,1190,1.80,NA,
HRS96175,2293,1909,737,4.31,NA,
HRS96176,3794,2630,1035,4.13,6.31,
HRS96177,3829,2536,979,2.43,NA,
HRS96178,3209,2768,875,3.34,NA,"Base Broken, Tall Ridges"
HRS96179,3904,2994,1084,3.22,NA,Worn tip
HRS96180,2682,2577,1195,1.97,NA,
HRS96181,3147,2188,757,3.48,NA,
HRS96182,4140,2827,1000,2.72,NA,
HRS96183,3835,2758,1042,2.33,NA,Worn tip
HRS96184,3459,2174,931,1.95,NA,Worn cenral area
HRS96185,3939,2529,1021,2.38,NA,Worn base area
HRS96186,4932,2987,1121,1.99,NA,
HRS96187,1970,1994,618,3.68,NA,
HRS96188,4274,2473,1267,,NA,Worn or cracked tip
HRS96189,3758,2128,867,4.79,10.31,
HRS96190,2291,2176,697,4.39,NA,Worn tip
HRS96191,3031,2510,812,3.54,NA,
HRS96192,,2321,885,2.90,NA,Only basal 1/2; Half of the tooth is missing
HRS96193,2243,1619,649,3.63,NA,
HRS96194,3395,2182,897,4.13,NA,
HRS96195,2316,2376,624,3.76,NA,Worn tip
HRS96196,4437,2546,1000,1.97,NA,
HRS96197,2606,2340,661,3.55,NA,
,,,,,,
HRS00430,4700,2630,1200,1.7,,
HRS00916,4280,2520,1050,2.1,,
HRS01780,3120,2140,780,3.3,,
HRS01797,3650,2630,710,3.2,,
HRS01865,2960,1990,670,4,,
HRS02117,3940,2060,860,3,,
HRS02149,3180,2160,930,3,,
HRS04096,3950,2610,800,3,,
HRS04555,,2690,830,3.4,,
HRS04589,,2100,720,3.4,,
HRS04883,1370,1330,690,8,,
HRS04994,,2140,480,4,,
HRS04998,,,,,,
HRS05000,,1400,630,,,
HRS05860,5660,3020,1190,1.6,,
HRS07119,4500,2720,1050,1.9,,
HRS07886,,1730,780,3.2,,
HRS08230,3940,2250,850,2.8,,
HRS08360,5690,3100,1320,1.9,,
HRS09122,3540,2470,800,3,,
HRS09373,4370,3060,780,2.8,,
HRS09580,3890,2300,840,3,,
HRS11099,3790,2610,790,2.9,,
HRS12685,5230,2860,1200,1.9,,
HRS17066,,2080,860,2.1,,
HRS17777,3260,2130,730,3.2,,
HRS27084,4060,2470,910,2.5,,
HRS27086,5650,2960,1300,1.8,,
HRS27357,4430,3040,860,2.6,,
HRS27588,3210,2220,660,3.6,,
,,,,,,
HRS90001,3380,2110,870,3,,
HRS90002,2870,2150,700,3,,
HRS90003,4290,2600,1170,1.8,,
HRS90004,4360,2540,980,2.4,,
HRS90005,4320,2880,940,3.2,,
HRS90006,,2510,880,4,9,
HRS90007,3240,1920,860,2.1,,
HRS90008,4540,2300,1040,1.9,,
HRS90009,4450,2560,980,2.1,,
HRS90010,3680,2470,1020,5,9,
HRS90011,2830,1850,780,3.1,,
HRS90012,4190,2440,900,3,,
HRS90013,3970,2460,980,2.9,,
HRS90014,5300,3050,1180,1.8,,
HRS90015,4140,2260,970,2,,
HRS90016,5410,2920,1330,1.7,,
HRS90017,3210,2060,790,3.2,,
HRS90018,4000,2590,810,2.9,,
HRS90019,3350,2420,760,4,,
HRS90020,3310,2370,730,3.5,,
HRS90021,4510,2770,1060,4.4,10,
HRS90022,3940,2050,980,4.3,11,
HRS90023,3200,2100,880,3,,
HRS90024,,,,,,
HRS90025,4140,2450,890,2.2,,
HRS90026,3980,2630,1050,3,,
HRS90027,3480,2380,740,3,,
HRS90028,2920,1980,860,3.5,,
HRS90029,3900,2540,1000,2.4,,
HRS90030,3790,2710,810,2.9,,
HRS90031,3890,2910,910,2.2,,
HRS90032,3100,2470,680,3.3,,
HRS90033,4010,2750,860,3,,
HRS90034,3820,2620,740,3.6,,
HRS90035,3100,2360,670,3.2,,
HRS90036,3050,2310,890,3.1,,
HRS90037,2760,2000,860,2.5,,
HRS90038,2780,1980,740,3.8,,
HRS90039,2910,2200,840,3.2,,
HRS90040,2560,2050,850,3.1,,
HRS90041,3190,2540,680,3.8,,
HRS90042,2840,1970,820,3.2,,
HRS90043,3690,2510,930,2.8,,
HRS90044,4390,2900,980,2.8,,
